service,operation_id,http_path,http_verb,tags,params,success_response_object,summary,description,stackql_resource_name,stackql_method_name,stackql_verb
billing,billable_usage_download,/api/2.0/accounts/{account_id}/usage/download,get,"billing, billable_usage","start_month, end_month, personal_data",DownloadResponse,Returns billable usage logs in CSV format for the specified account and date range. For the data,"Returns billable usage logs in CSV format for the specified account and date range. For the data schema, see:  - AWS: [CSV file schema]. - GCP: [CSV file schema].  Note that this method might take multiple minutes to complete.  **Warning**: Depending on the queried date range, the number of workspaces in the account, the size of the response and the internet speed of the caller, this API may hit a timeout after a few minutes. If you experience this, try to mitigate by calling the API with narrower date ranges.  [CSV file schema]: https://docs.gcp.databricks.com/administration-guide/account-settings/usage-analysis.html#csv-file-schema  :param start_month: str   Format specification for month in the format `YYYY-MM`. This is used to specify billable usage   `start_month` and `end_month` properties. **Note**: Billable usage logs are unavailable before March   2019 (`2019-03`). :param end_month: str   Format: `YYYY-MM`. Last month to return billable usage logs for. This field is required. :param personal_data: bool (optional)   Specify whether to include personally identifiable information in the billable usage logs, for   example the email addresses of cluster creators. Handle this information with care. Defaults to   false.  :returns: :class:`DownloadResponse`",billable_usage,billable_usage_download,SELECT
billing,budget_policy_create,/api/2.1/accounts/{account_id}/budget-policies,post,"billing, budget_policy","policy, request_id",BudgetPolicy,Creates a new policy.,"Creates a new policy.  :param policy: :class:`BudgetPolicy` (optional)   The policy to create. `policy_id` needs to be empty as it will be generated `policy_name` must be   provided, custom_tags may need to be provided depending on the cloud provider. All other fields are   optional. :param request_id: str (optional)   A unique identifier for this request. Restricted to 36 ASCII characters. A random UUID is   recommended. This request is only idempotent if a `request_id` is provided.  :returns: :class:`BudgetPolicy`",budget_policy,budget_policy_create,INSERT
billing,budget_policy_list,/api/2.1/accounts/{account_id}/budget-policies,get,"billing, budget_policy","filter_by, page_size, page_token, sort_spec",Iterator[BudgetPolicy],Lists all policies. Policies are returned in the alphabetically ascending order of their names.,"Lists all policies. Policies are returned in the alphabetically ascending order of their names.  :param filter_by: :class:`Filter` (optional)   A filter to apply to the list of policies. :param page_size: int (optional)   The maximum number of budget policies to return. If unspecified, at most 100 budget policies will be   returned. The maximum value is 1000; values above 1000 will be coerced to 1000. :param page_token: str (optional)   A page token, received from a previous `ListServerlessPolicies` call. Provide this to retrieve the   subsequent page. If unspecified, the first page will be returned.    When paginating, all other parameters provided to `ListServerlessPoliciesRequest` must match the   call that provided the page token. :param sort_spec: :class:`SortSpec` (optional)   The sort specification.  :returns: Iterator over :class:`BudgetPolicy`",budget_policy,budget_policy_list,SELECT
billing,budget_policy_delete,/api/2.1/accounts/{account_id}/budget-policies/{policy_id},delete,"billing, budget_policy",policy_id,,Deletes a policy,Deletes a policy  :param policy_id: str   The Id of the policy.,budget_policy,budget_policy_delete,DELETE
billing,budget_policy_get,/api/2.1/accounts/{account_id}/budget-policies/{policy_id},get,"billing, budget_policy",policy_id,BudgetPolicy,Retrieves a policy by it's ID.,Retrieves a policy by it's ID.  :param policy_id: str   The Id of the policy.  :returns: :class:`BudgetPolicy`,budget_policy,budget_policy_get,SELECT
billing,budget_policy_update,/api/2.1/accounts/{account_id}/budget-policies/{policy_id},patch,"billing, budget_policy","policy_id, limit_config, policy",BudgetPolicy,Updates a policy,Updates a policy  :param policy_id: str   The Id of the policy. This field is generated by Databricks and globally unique. :param policy: :class:`BudgetPolicy`   The policy to update. `creator_user_id` cannot be specified in the request. All other fields must be   specified even if not changed. The `policy_id` is used to identify the policy to update. :param limit_config: :class:`LimitConfig` (optional)   DEPRECATED. This is redundant field as LimitConfig is part of the BudgetPolicy  :returns: :class:`BudgetPolicy`,budget_policy,budget_policy_update,UPDATE
billing,budgets_create,/api/2.1/accounts/{account_id}/budgets,post,"billing, budgets",budget,CreateBudgetConfigurationResponse,"Create a new budget configuration for an account. For full details, see","Create a new budget configuration for an account. For full details, see https://docs.databricks.com/en/admin/account-settings/budgets.html.  :param budget: :class:`CreateBudgetConfigurationBudget`   Properties of the new budget configuration.  :returns: :class:`CreateBudgetConfigurationResponse`",budgets,budgets_create,INSERT
billing,budgets_list,/api/2.1/accounts/{account_id}/budgets,get,"billing, budgets",page_token,Iterator[BudgetConfiguration],Gets all budgets associated with this account.,Gets all budgets associated with this account.  :param page_token: str (optional)   A page token received from a previous get all budget configurations call. This token can be used to   retrieve the subsequent page. Requests first page if absent.  :returns: Iterator over :class:`BudgetConfiguration`,budgets,budgets_list,SELECT
billing,budgets_delete,/api/2.1/accounts/{account_id}/budgets/{budget_id},delete,"billing, budgets",budget_id,,Deletes a budget configuration for an account. Both account and budget configuration are specified by,Deletes a budget configuration for an account. Both account and budget configuration are specified by ID. This cannot be undone.  :param budget_id: str   The Databricks budget configuration ID.,budgets,budgets_delete,DELETE
billing,budgets_get,/api/2.1/accounts/{account_id}/budgets/{budget_id},get,"billing, budgets",budget_id,GetBudgetConfigurationResponse,Gets a budget configuration for an account. Both account and budget configuration are specified by ID.,Gets a budget configuration for an account. Both account and budget configuration are specified by ID.  :param budget_id: str   The budget configuration ID  :returns: :class:`GetBudgetConfigurationResponse`,budgets,budgets_get,SELECT
